Array length;Merge Sort Random;Merge Sort Reverse Sorted;Merge Sort Almost Sorted;Merge+Insertion Sort Random;Merge+Insertion Sort Reverse Sorted;Merge+Insertion Almost Sorted
500;289.9;331.2;257;24.4;29.4;37.2
600;324.1;476.8;301.9;35.6;51.5;56.7
700;386.2;519.3;354.6;41.3;83.2;54.3
800;444.9;629.1;514.2;62;49.6;83.3
900;533.1;551.5;491.3;71.7;68.7;41.3
1000;604.6;685.5;600.6;86.5;97.1;79.1
1100;703.4;703.6;685.9;161.6;165.5;145
1200;728.4;794.4;774.6;111.6;99.9;89.9
1300;872.1;833;806.4;127.5;115;100.6
1400;935.6;867.4;843.8;161.1;147.3;101.4
1500;1027.3;894.2;969.1;98;143.5;113
1600;1050;941.4;957.1;110.5;94.4;136.6
1700;1074.4;1022;1003.3;95.5;118.4;121.7
1800;1182.1;1047.9;1057.2;121.2;118.5;83.3
1900;1238.1;1126.3;1094.7;91;108.1;87.5
2000;1337.8;1271.7;1155.2;148.7;186.3;138.1
2100;1404.4;1332.2;1377.6;186.4;195.7;170.7
2200;1223.1;1292.9;1211.7;202.6;206.3;178.5
2300;1292.4;1416.9;1289.5;163.3;202;175.8
2400;1402.5;1379;1359.3;176.8;168.7;137
2500;1427.4;1366.2;1528.6;176.2;163.8;149.6
2600;1528.7;1468;1356.6;158.1;152.9;151.2
2700;1671.9;1575.9;1672.7;177.1;149;157.3
2800;1563.6;1662.6;1558.4;173.7;171.1;153
2900;1767.2;1765.2;1621.9;145.2;208.7;171.2
3000;2042.3;1726.8;1629.4;172.5;208.5;195.8
3100;1959.6;1733.8;1780.3;196.3;180.3;220.3
3200;1765.1;1856.7;1796;173.4;189.2;220.4
3300;1965.9;1885.5;1918;184.7;183.6;216
3400;1929.4;1919.4;1957.6;210;221.8;244.1
3500;2021.5;2046.3;1983.8;275.7;266.8;303.1
3600;2144.3;2038.2;1998.6;192.9;226.3;156.9
3700;2196.9;2162;2253.3;218.1;228.1;217.9
3800;2104.5;2284.8;2182.8;217.6;302.1;242.2
3900;2203;2605.7;2088.1;347.2;377;371.9
4000;2295.5;2780.6;2391.8;511.4;580.1;510.1
4100;2361.4;2814;2194.5;355.2;520.7;321.2
4200;2531.8;2846.6;2534.6;675.8;646.1;405.3
4300;2608.2;2867.4;2726.4;990.4;731.4;582.9
4400;2381.9;2757.2;2785.6;516.4;703.6;481.7
4500;2439.3;3061.6;2372;598.6;640.4;571
4600;2573.3;2802.6;2577.5;453.1;723;653.1
4700;2676.3;3067.8;2489.3;326.4;327;312.2
4800;2855.7;3292.8;2498.9;422.1;333.3;305.7
4900;2682.2;3095.9;2605.3;363.1;331;289.3
5000;2708.1;3108.5;2904.7;427.5;390.9;365.6
5100;2753.9;3165.3;2988.7;446.2;474.4;549.6
5200;2832.5;3130.8;3067.8;419.4;393;430.7
5300;2938.3;3193.3;3071.3;474.3;434.9;576.7
5400;3060.6;3294.5;3079.3;538.2;422.7;438.8
5500;3016.8;3390.6;2962.6;536;421.9;489.7
5600;3142.5;3254.4;3115.2;642.7;665.9;568.3
5700;3250.7;3437.5;3071.6;320.6;390.3;358.2
5800;3269.9;3642.8;3127.6;306;360.8;334.4
5900;3312.1;3571.4;3305.9;334;379.3;379.2
6000;3300.1;3631.3;3286.3;338.1;441;371.6
6100;3552.7;3400.1;3278.6;349.8;354.8;367.2
6200;3344.3;3552.1;3393.2;406.8;419.1;473.1
6300;3453.8;3454.4;3368.4;333.8;335.1;437.7
6400;3670.2;3675.7;3436.4;328.8;419.8;493.9
6500;3718;3673;3514;357.1;400.1;516.8
6600;3801.5;3572.3;3629.4;441.7;643.4;714
6700;3780.2;3753.9;3576.7;359.8;403;488.2
6800;3944.1;3677.7;3580.1;403.7;430.3;522.4
6900;3838.8;3943.2;3527.1;469.5;517.6;549.7
7000;3997.3;3886.7;3744.5;442.7;612.6;446.6
7100;4053.6;3838.5;3694.4;344.5;390.8;375.2
7200;3981;3863.4;3741.3;366.2;372.1;355.9
7300;4168.7;3879.8;4019.8;325.1;365.1;329.5
7400;4110.4;3970.6;3747.1;341.5;393.4;333.6
7500;4050.3;4020.6;3842.4;384.4;381.6;413.2
7600;4033.2;4098.2;4058.4;386.6;373.7;371
7700;4239.6;4154.5;3986.3;370.8;408;389.7
7800;4269.2;4175.2;4093.8;515;535.9;556.4
7900;4675.5;4178.5;4074.5;561.8;715.1;753
8000;4426.3;4256.1;4115.9;516.3;539.9;671.6
8100;4593.6;4269.8;4265.8;487.9;551.9;515.7
8200;4483.2;4294.3;4165.7;531.7;558.6;504.7
8300;4794.1;4269.8;4257.5;549.1;544.4;512.1
8400;4940.1;4476.7;4313.2;570.2;535.8;580.6
8500;4796.1;4495.4;4516.2;719.2;597.2;635.9
8600;5633.4;4754.9;4557.1;870.7;879;892.3
8700;4452.1;4599.8;4696.8;603.2;622.1;668.4
8800;4938.3;4763.8;4494.2;848.1;694.8;879.6
8900;5037.1;4872.9;4548.5;693.1;616.3;658.5
9000;5166.6;4740.6;4482.3;640.9;579.8;593.4
9100;5292.1;4831.6;4684.7;1027.2;704.8;773.6
9200;5487.6;4927.6;5075.1;921.1;718.3;764.6
9300;4813.5;5217.4;4884.3;588.6;877.3;1102.7
9400;6011;4869;4836.3;578;603.9;602.9
9500;5156.2;5084.6;4961.3;558;565.7;596.6
9600;5880;5354.8;4957.4;529;556.5;585.6
9700;5277.8;5247.1;4993;543.8;600.4;643.6
9800;5942.7;5303;5119.3;571.3;655.7;628.2
9900;5608.4;5262.1;4909.5;561.5;633.6;711.3
10000;5887.6;5218;5256;661.6;724.1;639.1
